educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
2,36,2,1,1,1,1,0
2,37,5,1,1,1,0,0
2,20,2,1,1,1,1,0
2,23,2,1,1,2,0,1
2,25,4,1,1,1,1,1
1,45,2,1,1,1,0,1
2,29,5,1,1,1,1,1
3,33,5,1,1,1,1,1
2,24,5,1,1,1,1,0
2,31,4,1,1,1,1,0
2,52,5,1,1,1,1,1
2,22,5,1,1,1,1,0
1,62,1,1,1,1,0,0
3,69,5,2,1,1,1,0
2,15,1,1,1,1,1,0
2,50,4,1,1,1,1,1
2,19,5,1,1,1,1,0
2,60,5,2,1,1,0,0
2,19,4,1,1,1,1,1
2,20,1,1,1,2,0,1
2,48,4,1,1,1,1,1
2,39,4,1,1,1,1,1
2,27,3,1,1,1,1,1
2,30,5,1,1,1,1,1
1,40,3,1,1,1,1,1
3,30,4,1,1,1,0,0
2,34,2,1,1,1,1,0
2,24,4,2,1,1,1,0
2,18,3,1,1,1,1,1
2,20,1,1,1,2,1,1
2,25,4,1,1,1,0,1
2,58,1,1,2,1,1,0
2,30,4,1,1,1,1,0
2,75,5,1,1,1,0,0
2,30,4,1,1,1,1,0
3,55,5,1,1,1,1,1
2,39,1,1,1,1,1,1
2,89,4,2,1,1,1,1
2,42,3,1,1,2,0,1
3,37,5,1,1,1,1,1
3,23,4,1,1,1,1,0
2,34,4,2,1,1,1,0
2,27,2,2,1,1,1,0
2,59,5,1,1,2,1,1
2,17,4,1,1,1,0,0
2,31,4,1,1,1,1,0
2,29,4,1,1,1,1,1
2,23,5,1,1,1,1,1
2,53,5,1,1,1,1,1
2,25,1,1,1,1,1,1
2,31,5,1,1,1,1,1
3,39,5,1,1,1,1,1
2,61,4,1,1,1,1,0
4,58,4,1,1,2,0,0
2,27,4,1,1,1,1,1
3,41,5,1,1,1,1,0
2,25,2,2,1,2,0,0
1,27,1,1,2,2,0,0
2,21,5,1,1,1,0,1
2,38,4,2,1,1,0,1
2,20,5,1,1,1,1,1
2,59,5,1,1,1,0,1
3,62,5,2,1,1,1,0
2,56,5,1,1,1,1,0
2,24,3,2,1,1,1,1
2,65,3,2,1,1,1,0
3,29,5,1,1,1,1,1
1,47,3,1,1,2,1,1
