educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
2,29,5,1,1,1,1,0
2,47,4,1,1,2,0,0
2,27,4,1,1,1,1,0
2,47,5,1,1,1,1,0
2,34,5,1,1,1,1,1
2,17,2,1,1,1,0,0
2,72,1,1,1,2,0,1
2,53,3,2,1,1,1,0
2,18,4,1,2,1,0,0
2,19,3,1,1,1,1,1
1,69,1,1,1,2,0,0
2,38,3,1,1,1,1,1
2,23,3,1,1,1,1,1
2,20,4,2,1,1,0,0
2,32,1,1,2,2,1,0
2,59,4,1,1,2,1,1
2,31,2,1,1,1,1,0
1,67,4,2,1,1,1,0
2,18,1,1,1,1,0,1
1,54,5,2,1,2,0,0
2,39,1,2,1,2,1,1
2,62,4,1,1,2,1,0
3,29,4,1,1,1,1,0
2,50,3,1,1,1,0,0
3,35,5,1,1,1,1,1
2,63,5,1,1,2,0,1
2,31,2,1,1,1,1,1
2,44,3,1,1,1,1,0
1,37,2,1,1,1,1,0
2,50,3,2,1,1,1,0
2,53,5,1,1,1,0,0
2,67,5,1,1,2,0,1
2,19,2,1,1,1,1,0
2,15,2,1,1,1,0,0
2,48,2,2,1,2,1,0
2,26,1,1,1,1,1,0
1,65,4,1,2,2,0,0
2,38,5,1,1,1,1,0
2,59,3,1,1,1,0,0
2,63,4,1,1,1,1,1
2,21,2,1,1,1,0,1
2,36,4,1,1,1,1,1
2,34,2,2,1,2,1,0
1,72,1,1,2,2,0,0
2,26,3,2,1,2,1,0
1,62,1,1,1,2,1,0
2,34,2,1,1,2,1,0
2,35,3,1,1,2,1,0
2,46,4,1,1,1,1,1
2,32,2,1,1,1,1,1
2,34,4,1,1,1,1,0
2,16,3,2,1,1,0,1
2,24,5,1,1,2,1,0
2,50,4,1,1,1,0,0
2,36,1,1,1,1,0,0
3,48,5,1,1,1,1,0
3,28,4,1,1,1,1,0
2,46,4,1,1,1,1,0
2,61,4,1,1,1,1,1
2,15,4,2,1,1,0,1
1,40,1,1,1,2,1,1
2,29,1,1,1,2,1,0
2,21,5,1,1,1,0,1
1,21,1,1,1,2,1,0
1,61,3,2,2,2,1,0
2,64,1,2,1,2,1,0
2,30,1,2,2,2,0,0
2,15,4,2,1,1,0,0
2,43,4,1,1,1,0,0
2,53,2,1,1,1,1,0
2,25,4,1,1,1,1,1
2,25,4,2,1,1,1,0
2,27,2,1,1,2,1,0
2,38,3,1,1,1,0,0
3,50,5,1,1,1,1,1
1,46,1,1,1,2,1,0
2,58,3,1,1,1,1,1
2,29,2,1,1,1,1,0
2,35,3,1,2,1,1,0
1,55,5,1,2,2,0,0
2,23,5,1,1,1,1,1
2,41,3,1,1,1,1,0
2,33,3,1,1,1,0,1
2,28,4,1,1,1,1,0
2,27,5,1,1,1,1,0
2,35,3,1,1,1,0,0
2,28,4,2,1,1,0,0
2,40,3,1,1,2,0,0
2,48,2,2,1,1,0,1
2,47,5,1,1,1,1,1
2,31,1,1,1,1,1,1
2,32,4,1,1,1,1,0
2,42,4,1,1,1,1,0
2,16,3,2,1,1,0,0
2,76,4,1,2,2,0,1
3,50,4,1,1,1,1,0
2,18,1,1,1,1,0,1
2,60,3,2,1,1,0,0
2,52,5,1,1,1,1,1
2,37,3,1,2,2,0,0
2,67,5,2,2,2,0,0
1,75,1,2,1,2,0,0
2,25,1,1,1,1,1,0
2,18,5,2,1,2,0,0
1,71,1,2,1,2,0,1
1,55,2,2,1,2,0,0
2,36,4,1,1,1,1,0
2,58,4,1,2,2,1,1
2,55,3,1,1,2,0,1
2,24,5,1,1,1,1,1
1,58,1,1,1,2,0,0
2,33,5,1,1,2,0,1
2,17,5,1,1,1,0,0
2,34,1,2,2,2,1,0
3,68,5,1,1,1,1,1
2,29,5,1,1,1,1,1
3,51,5,1,1,1,1,1
1,38,2,1,1,2,0,0
2,36,5,2,1,1,0,0
2,34,5,1,1,1,1,0
2,50,2,1,1,2,0,0
2,46,2,1,1,1,0,0
2,20,4,2,1,1,0,1
2,26,5,1,1,2,0,1
2,20,4,1,1,1,0,0
2,26,2,2,1,1,0,0
1,49,3,1,1,2,0,1
1,66,2,2,1,2,0,1
1,28,1,1,1,2,0,0
2,29,3,2,1,1,0,0
2,22,3,1,2,2,1,1
3,71,4,2,1,1,1,1
4,48,4,1,4,2,1,0
